text, lemma_, pos_, tag_, dep_, is_alpha, is_stop, count, samples
https_port,https_port,NOUN,NN,ROOT,False,False,1,[u'Endpoint origin specified by the following space delimited 3 tuple www example com http_port https_port The HTTP and HTTPsports are optional and will default to 80 and 443 respectively ']
dynamic,dynamic,NOUN,NNS,dobj,True,False,1,[u'Create a rule in a route filter to allow Dynamics 365 ']
dequeue_count,dequeue_count,NOUN,NN,compound,False,False,2,[u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ', u'Retrieves one or more messages from the front of the queue but does not alter the visibility of the message Only messages that are visible may be retrieved When a message is retrieved for the first time with a call to get_messages its dequeue_count property is set to 1 If it is not deleted and is subsequently retrieved again the dequeue_count property is incremented The client may use this value to determine how many times a message has been retrieved Note that a call to peek_messages does not increment the value of DequeueCount but returns this value for the client to read If the key encryption key or resolver field is set on the local service object the messages will be decrypted before being returned ']
0000,0000,PUNCT,NFP,nummod,False,False,6,[u'The fully qualified Id of the resource link For example subscriptions 00000000 0000 0000 0000 000000000000 resourceGroups myGroup Microsoft Web sites mySite Microsoft Resources links myLink', u'The fully qualified Id of the resource link For example subscriptions 00000000 0000 0000 0000 000000000000 resourceGroups myGroup Microsoft Web sites mySite Microsoft Resources links myLink']
fileservercreateparameter,fileservercreateparameter,NOUN,NNS,ROOT,True,False,1,[u'A path to a json file containing file server create parameters json representation of azure mgmt batchai models FileServerCreateParameters Note parameters given via command line will overwrite parameters specified in the configuration file ']
fire,fire,NOUN,NN,pobj,True,False,4,[u'Add an action to fire when the alert is triggered ', u'Add an action to fire when a scaling event occurs ']
precision,precision,NOUN,NN,dobj,True,False,2,[u'The time at which the account should expire If omitted the default is 1 day from the current time For Linux compute nodes the expiryTime has a precision up to a day Expected format is an ISO 8601 timestamp ', u'The time at which the account should expire If omitted the default is 1 day from the current time For Linux compute nodes the expiryTime has a precision up to a day Expected format is an ISO 8601 timestamp ']
func,func,NOUN,NN,compound,True,False,8,[u'Deletes the specified message Normally after a client retrieves a message with the get_messages operation the client is expected to process and delete the message To delete the message you must have two items of data id and pop_receipt The id is returned from the previous get_messages operation The pop_receipt is returned from the most recent func get_messages or func update_message operation In order for the delete_message operation to succeed the pop_receipt specified on the request must match the pop_receipt returned from the func get_messages or func update_message operation ', u'Deletes the specified message Normally after a client retrieves a message with the get_messages operation the client is expected to process and delete the message To delete the message you must have two items of data id and pop_receipt The id is returned from the previous get_messages operation The pop_receipt is returned from the most recent func get_messages or func update_message operation In order for the delete_message operation to succeed the pop_receipt specified on the request must match the pop_receipt returned from the func get_messages or func update_message operation ']
demand,demand,NOUN,NN,compound,True,False,2,[u'Manage protection of your items enable protection or disable it or take on demand backups ', u'Perform an on demand backup of a backed up item ']
p2,p2,PROPN,NNP,compound,False,False,2,[u'Size of Redis cache to deploy Example values for C family C0 C1 C2 C3 C4 C5 C6 For P family P1 P2 P3 P4 ', u'Size of Redis cache to deploy Example values for C family C0 C1 C2 C3 C4 C5 C6 For P family P1 P2 P3 P4 ']
p3,p3,PROPN,NNP,compound,False,False,2,[u'Size of Redis cache to deploy Example values for C family C0 C1 C2 C3 C4 C5 C6 For P family P1 P2 P3 P4 ', u'Size of Redis cache to deploy Example values for C family C0 C1 C2 C3 C4 C5 C6 For P family P1 P2 P3 P4 ']
p1,p1,PROPN,NNP,compound,False,False,10,[u'The service objective for the new database For example Basic S0 P1 GP_Gen4_1 BC_Gen5_2 ', u'The pricing tiers e g F1 Free D1 Shared B1 Basic Small B2 Basic Medium B3 Basic Large S1 Standard Small P1 Premium Small P1V2 Premium V2 Small etc']
look,look,VERB,VB,ROOT,True,False,7,[u'Look up time zone information ', u'Encoding of the destination file By default will look for the file encoding tag on the secret Otherwise will assume utf 8 ']
